Creation Time,Marketplace Type,Body,Currency Code,Currency Amount,Billing Time Unit,Free Consultation included
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,"Whenever you're focus is on lead generation, it's important that your content addresses the customer pain points they're currently experiencing to grab their attention. Why should your target customer care about you? That's the story we need to tell across YouTube and LinkedIn.     Initially this will involve mapping your core value proposition to drive consistency across all customer touch points, online and offline. Content creation will come to life as details about the customer problems you solve rise to the surface.",USD,4800,FIXED,true
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,"Hello,    I wanted to reach out to see if there is a fit between my skills and your needs. I am a digital marketer with agency experience and a strong understanding of the social space. I specialize in Goo AdWords/YouTube video ads as well as Facebook advertising.     I would love to have a chat with you over the phone to learn more about you and your business. The quote I included is a monthly retainer.  My name is Drew McGregor and I hope we can chat further.     Cheers,    Drew McGregor  859.817.1630  drew@localbusinessvideos.us",USD,650,FIXED,true
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
Wed Apr 27 16:43:58 UTC 2016,SERVICE_MARKETPLACE,,,,,
